Marca temporal,nombre,categoria,categoria_secundaria,coleccion,talla,proveedor,precio,estado,imagen,imagen_link,imagen_drive,descripcion,stock,ID,Costo,stockd,Liked,Share
3/7/2026 7:13:50,Bolso Hello Kitty,Accesorios,Niños,Hello Kitty,U,Barujhaba,15,Pocas Unidades,https://lh3.googleusercontent.com/d/1F28ELcVkUHIzt4uUWsCo3Knsf66VBx2V,,https://drive.google.com/open?id=1F28ELcVkUHIzt4uUWsCo3Knsf66VBx2V,"Bolso tipo tote de fieltro rosa resistente con asas estructuradas, decorado con ilustraciones de Hello Kitty en un frasco de mermelada de cereza y notas musicales.",9,AK-W-0001,,3,0,0
7/8/2026 2:27:33,Bolsos Infantiles Medianos,Bolsos,Niños,Superheroe,M,Otros,18,Normal,https://drive.google.com/file/d/1FBqpPi7RYgt2diSXxlk8_M6TRbW0fXHo,,https://drive.google.com/file/d/1FBqpPi7RYgt2diSXxlk8_M6TRbW0fXHo,"Confeccionados en tela de alta durabilidad con frontal estampado de acabado brillante y fácil de limpiar.
#Batman #Capitán América #Spider-Man #Paw Patrol #Sonic",10,CK-X-0002,,4,0,0
7/8/2026 2:49:59,Bolso Kuromi/Cinnamoroll,Bolsos,Mujer,Sanrio,M,Otros,25,Normal,https://lh3.googleusercontent.com/d/1__GfJG9WkeeVm9dxTzlzsy8n5uEEdCbV,,https://drive.google.com/open?id=1__GfJG9WkeeVm9dxTzlzsy8n5uEEdCbV,"Cuenta con múltiples compartimientos con cierres, solapa de hebillas y bolsillos laterales. Incluye accesorios a juego como pines y llaveros decorativos.",10,CM-X-0003,,3,0,0
7/8/2026 9:10:01,Sweater Tejido,Ropa,Mujer,Otro/Ninguno,"S, M, L, XL",Otros,16,Normal,"https://lh3.googleusercontent.com/d/1toYgc4y9311HUHk7win654zpwAEPgKN3, https://lh3.googleusercontent.com/d/17NX4VaQ3nbyXa8cECFZRXieDzpgKxpgg, https://lh3.googleusercontent.com/d/1YfQtfqKk5ADqTdN1vN3FWRY5_gCSyTgO, https://lh3.googleusercontent.com/d/1nmAHO5xhOoWu3yvqdQqKLHy1HaU5kQ0R",,"https://drive.google.com/open?id=1toYgc4y9311HUHk7win654zpwAEPgKN3, https://drive.google.com/open?id=17NX4VaQ3nbyXa8cECFZRXieDzpgKxpgg, https://drive.google.com/open?id=1YfQtfqKk5ADqTdN1vN3FWRY5_gCSyTgO, https://drive.google.com/open?id=1nmAHO5xhOoWu3yvqdQqKLHy1HaU5kQ0R","Hermosos sweaters tejidos en varios colores: crema, blanco, negro, rojo y gris",10,EM-X-0004,,2,0,0
7/8/2026 9:56:51,Cobija Capibara Astronauta,Hogar,Unisex,Capibara,U,Otros,18,Normal,https://lh3.googleusercontent.com/d/17MYX9AOlHB5ysFLV6MIqjccB2r3Pn6RN,,https://drive.google.com/open?id=17MYX9AOlHB5ysFLV6MIqjccB2r3Pn6RN,"Cobija térmica suave con estampado infantil de capibaras astronautas y deportistas, ideal para cama o sofá.",10,DN-X-0005,,1,0,0
7/8/2026 18:44:23,Botella de Agua Transparente Huntrix,Accesorios,Unisex,Kpop,U,Otros,5.5 ,Agotado,https://lh3.googleusercontent.com/d/1GFNr6hgI1EdlUUmC_khZVKyS6DWGnKXW,,https://drive.google.com/open?id=1GFNr6hgI1EdlUUmC_khZVKyS6DWGnKXW,"Potes de plástico transparente con pitillo y tapa abatible, decorado con ilustraciones estilo anime de personajes de K-pop.",0,AN-X-0006,,,0,0
7/8/2026 18:58:19,Juego de Sábanas Twin Dragon Ball Z,Hogar,Niños,Anime,L,Otros,18.5 ,Normal,https://lh3.googleusercontent.com/d/1p7eX2tSHhiCCf26SYQXGErONqT_Pf3GQ,,https://drive.google.com/open?id=1p7eX2tSHhiCCf26SYQXGErONqT_Pf3GQ,"Juego de sábanas tamaño Twin para cama individual, elaborado con estampado de Goku y el logo de Dragon Ball Z",10,DK-X-0007,,,0,0
7/8/2026 19:05:28,Bolso Ejecutivo Multifuncional #Gris,Bolsos,Unisex,Otro/Ninguno,M,Otros,34,Normal,https://lh3.googleusercontent.com/d/1kYzETRd8ZwYA7NVJ-GHqx9qII2F7U6-r,,https://drive.google.com/open?id=1kYzETRd8ZwYA7NVJ-GHqx9qII2F7U6-r,"Mochila ejecutiva impermeable con compartimento para laptop, múltiples bolsillos organizadores frontales con cierre y malla lateral para termo",10,CN-X-0008,,,0,0
7/8/2026 19:20:34,Set de Cartera 2 en 1 #Vintage #Café ,Bolsos,Mujer,Otro/Ninguno,"M, U",Otros,28,Normal,https://lh3.googleusercontent.com/d/1Shxn576WNT3ckA1bvhUJQ-UPcEw2W-lD,,https://drive.google.com/open?id=1Shxn576WNT3ckA1bvhUJQ-UPcEw2W-lD,"Set de morral estilo vintage y bandolero a juego en cuerina color café con solapa en gamuza. Incluye correa ajustable, cierres dorados con hebillas decorativas y peluche de conejo de regalo. (Chijiadaishu)",10,CM-X-0009,,,1,0
7/8/2026 19:31:59,Bolso Transparente (varios colores) (39x28x10 cm),Bolsos,Unisex,Otro/Ninguno,M,Otros,28,Normal,"https://lh3.googleusercontent.com/d/1Wyhchtgt0nzeGixOK_X39rlyh8snRKWB, https://lh3.googleusercontent.com/d/1UpRMAcSUCbc9NOfJe3TiHEwY-OQLkBZC, https://lh3.googleusercontent.com/d/1puS2VptL7XVCy6644g8cgVeywyo9pwbq, https://lh3.googleusercontent.com/d/1g-47M5Ndl_Ks6YtW1tpq5rbIte41JjlL",,"https://drive.google.com/open?id=1Wyhchtgt0nzeGixOK_X39rlyh8snRKWB, https://drive.google.com/open?id=1UpRMAcSUCbc9NOfJe3TiHEwY-OQLkBZC, https://drive.google.com/open?id=1puS2VptL7XVCy6644g8cgVeywyo9pwbq, https://drive.google.com/open?id=1g-47M5Ndl_Ks6YtW1tpq5rbIte41JjlL","Mochila escolar en PVC transparente de alta resistencia. Cuenta con 3 bolsillos organizadores frontales con cierre, malla lateral para termo y correas acolchadas. Medidas(cm): 39x28x10 #Rosado #Negro #Morado",10,CN-X-0010,,,0,0
7/8/2026 21:27:57,Juego de Sábanas Twin Sonic ,Hogar,Niños,Sonic,U,Otros,18.5 ,Normal,https://lh3.googleusercontent.com/d/1sxOmeON9qcPQ-4kY88Sq3N1eL6gDXjvI,,https://drive.google.com/open?id=1sxOmeON9qcPQ-4kY88Sq3N1eL6gDXjvI,Set de sábanas individual tamaño Twin con diseño dinámico de Sonic y sus amigos en tonos azules.,10,DK-X-0011,,,0,0
8/8/2026 0:13:06,Combo Neón Hora Loca (41 Piezas),Accesorios,Unisex,Otro/Ninguno,U,Otros,31,Normal,https://lh3.googleusercontent.com/d/1BtFLG5dbDxTWqZMf78Jh3fv3SidVUJDP,,https://drive.google.com/open?id=1BtFLG5dbDxTWqZMf78Jh3fv3SidVUJDP," Set surtido de accesorios fluorescentes para fiestas que incluye anillos, cintillos, pitos, collares, lentes y pulseras neón.",10,AN-X-0012,,,0,0
8/8/2026 0:28:19,Juego de Sábanas Twin Paw Patrol,Hogar,Niños,Paw patrol,M,Otros,18.5 ,Normal,https://lh3.googleusercontent.com/d/1ilLUHwQLCBFPyOeR4w3jlvCKpkaDbKnB,,https://drive.google.com/open?id=1ilLUHwQLCBFPyOeR4w3jlvCKpkaDbKnB, Juego de sábanas individual tamaño Twin con diseño de los personajes de Paw Patrol sobre un fondo azul y fucsia.,10,DK-X-0013,,,0,0
8/8/2026 0:32:46,Combo LED Hora Loca (46 Piezas),Accesorios,Unisex,Otro/Ninguno,U,Otros,58.5,Normal,https://lh3.googleusercontent.com/d/1ANiD8Yvg1EYwCv_iH3WTcpr9qhL0gqj_,,https://drive.google.com/open?id=1ANiD8Yvg1EYwCv_iH3WTcpr9qhL0gqj_,"Kit festivo luminoso con lentes LED, panderetas, pulseras, cintillos de flores, espadas de tubo, sombreros metalizados y aplausos.",10,AN-X-0014,,,0,0
8/8/2026 0:42:10,Patines con Casco y Protecciones (Unicornio),Juguetes,Niños,Otro/Ninguno,S,Otros,65,Normal,https://lh3.googleusercontent.com/d/13_8qGXlWk4cbrytDsXReEuBgokTwpyGm,,https://drive.google.com/open?id=13_8qGXlWk4cbrytDsXReEuBgokTwpyGm,"Set completo de patines en línea ajustables con diseño de unicornio, incluye casco psicodélico, rodilleras, coderas y muñequeras.",10,JK-X-0015,,,0,0
